date,time,A_West_Actual,B_Genesee_Actual,C_Central_Actual,D_North_Actual,E_Mohawk_Valley_Actual,F_Capital_Actual,G_Hudson_Valley_Actual,H_Millwood_Actual,I_Dunwoodie_Actual,J_NYC_Actual,K_Long_Island_Actual,A_West_Forecast,B_Genesee_Forecast,C_Central_Forecast,D_North_Forecast,E_Mohawk_Valley_Forecast,F_Capital_Forecast,G_Hudson_Valley_Forecast,H_Millwood_Forecast,I_Dunwoodie_Forecast,J_NYC_Forecast,K_Long_Island_Forecast
1/1/2005,0:00,1497,952,1591,709,671,1065,1102,195,625,5007,2203,1554,907,1645,707,622,1058,995,209,557,4509,1964
1/1/2005,1:00,1411,896,1517,696,622,999,1027,177,585,4780,2027,1504,865,1579,702,587,1017,951,195,520,4253,1834
1/1/2005,2:00,1346,842,1438,691,585,948,975,161,549,4538,1877,1484,847,1547,704,585,1017,924,189,505,4080,1758
1/1/2005,3:00,1312,817,1405,687,564,923,951,156,524,4367,1783,1468,838,1529,699,577,1010,914,185,495,3993,1724
1/1/2005,4:00,1311,818,1408,689,564,915,940,153,514,4270,1742,1473,843,1538,699,583,1018,919,185,494,3964,1720
1/1/2005,5:00,1328,836,1428,693,584,927,942,160,515,4268,1745,1511,880,1598,709,619,1065,949,192,512,4046,1767
1/1/2005,6:00,1360,860,1467,703,609,955,966,170,531,4349,1773,1585,956,1706,726,676,1128,1007,206,549,4200,1883
1/1/2005,7:00,1393,884,1499,711,631,988,979,181,529,4384,1761,1644,1023,1796,741,724,1182,1068,223,591,4385,2011
1/1/2005,8:00,1401,906,1549,728,667,1051,1011,195,543,4474,1831,1706,1094,1892,754,782,1263,1144,241,643,4698,2197
1/1/2005,9:00,1455,960,1638,741,718,1121,1064,208,569,4636,1938,1764,1141,1958,762,815,1312,1199,254,677,4987,2338
1/1/2005,10:00,1508,1027,1716,754,762,1195,1116,218,589,4774,2050,1787,1161,1974,765,820,1324,1226,260,693,5178,2411
1/1/2005,11:00,1575,1108,1786,761,791,1257,1146,222,603,4953,2117,1778,1156,1958,762,808,1306,1229,260,693,5255,2428
1/1/2005,12:00,1609,1135,1807,761,801,1265,1154,217,611,5026,2150,1753,1136,1926,759,789,1272,1216,257,685,5255,2406
1/1/2005,13:00,1606,1135,1790,756,791,1254,1147,197,621,5036,2135,1733,1117,1896,755,770,1239,1202,253,673,5208,2366
1/1/2005,14:00,1604,1127,1776,751,774,1243,1137,208,601,5034,2117,1709,1100,1870,750,760,1208,1192,250,664,5162,2333
1/1/2005,15:00,1599,1113,1773,754,781,1251,1140,217,595,5056,2130,1698,1099,1871,751,763,1207,1196,251,668,5139,2334
1/1/2005,16:00,1671,1180,1873,779,844,1346,1226,235,653,5237,2327,1754,1158,1963,765,825,1291,1264,268,713,5268,2515
1/1/2005,17:00,1838,1261,2022,788,954,1456,1372,296,736,5634,2712,1897,1266,2112,781,911,1417,1377,297,790,5535,2827
1/1/2005,18:00,1851,1247,2022,781,961,1431,1383,294,749,5663,2749,1914,1272,2119,783,919,1432,1385,301,802,5613,2868
1/1/2005,19:00,1833,1232,1994,779,928,1392,1371,292,746,5625,2710,1872,1238,2069,779,901,1407,1363,293,781,5555,2815
